gender,age,height,weight,bust_circumference,waist_circumference,hip_circumference
F,58.0,"1,503",58.3,965,831,915
F,55.0,"1,471",54.8,965,825,910
F,34.0,"1,530",55.5,900,790,961
F,16.0,"1,630",58.5,865,760,932
M,39.0,"1,675",83.0,"1,009",955,"1,021"
F,39.0,"1,536",54.2,873,752,915
F,41.0,"1,613",49.6,820,672,850
F,33.0,"1,595",62.0,895,810,955
M,44.0,"1,721",59.9,870,739,895
F,16.0,"1,710",46.0,745,595,843
F,42.0,"1,610",54.3,863,720,906
M,47.0,"1,688",69.4,927,790,952
F,36.0,"1,562",51.3,811,690,940
F,16.0,"1,655",57.0,836,690,979
M,32.0,"1,808",71.2,945,810,937
M,18.0,"1,837",73.7,861,751,971
M,20.0,"1,650",89.7,"1,100","1,057","1,045"
F,27.0,"1,551",52.6,820,717,934
M,16.0,"1,758",60.4,824,695,905
F,55.0,"1,476",47.6,886,745,851
F,37.0,"1,594",47.6,791,705,885
F,65.0,"1,496",61.4,981,881,934
F,48.0,"1,568",51.9,840,686,890
M,23.0,"1,702",54.5,830,660,845
F,19.0,"1,661",68.4,966,770,996
F,55.0,"1,528",58.6,921,917,895
M,18.0,"1,685",61.2,855,773,890
F,43.0,"1,572",57.3,930,745,885
M,53.0,"1,636",63.9,905,800,855
M,19.0,"1,703",58.8,821,735,924
F,34.0,"1,723",60.4,820,703,975
F,36.0,"1,672",60.7,823,757,972
F,40.0,"1,566",60.3,896,763,965
F,21.0,"1,615",63.5,900,772,975
F,53.0,"1,508",67.3,"1,005",875,945
M,27.0,"1,780",66.4,870,770,935
F,29.0,"1,501",40.0,790,640,818
M,17.0,"1,750",57.6,805,878,900
F,18.0,"1,558",67.0,921,834,"1,070"
F,43.0,"1,585",51.4,805,685,885
M,18.0,"1,725",53.3,795,675,898
F,35.0,"1,538",57.8,930,805,904
M,33.0,"1,690",66.8,865,781,950
F,59.0,"1,619",75.6,"1,025",982,"1,029"
F,37.0,"1,691",83.5,"1,018",995,"1,096"
F,16.0,"1,649",53.5,785,654,895
M,26.0,"1,761",92.0,"1,057",930,"1,070"
F,17.0,"1,516",52.3,810,702,962
M,16.0,"1,733",65.4,855,720,935
F,17.0,"1,550",52.0,838,682,907
M,32.0,"1,712",74.8,962,854,958
F,41.0,"1,558",50.3,805,695,921
M,58.0,"1,676",71.5,942,892,940
M,33.0,"1,770",71.9,935,848,960
M,24.0,"1,716",78.7,998,904,973
M,26.0,"1,775",107.7,"1,105","1,110","1,147"
M,32.0,"1,725",72.8,947,811,963
M,25.0,"1,741",81.2,964,848,"1,035"
F,19.0,"1,655",53.9,811,685,870
F,17.0,"1,572",55.4,881,690,930
F,54.0,"1,461",49.4,840,785,871
F,36.0,"1,456",46.0,826,780,851
F,67.0,"1,545",57.1,986,841,898
M,25.0,"1,635",62.3,808,745,920
F,23.0,"1,592",42.7,745,655,816
M,23.0,"1,754",92.3,"1,060","1,040","1,058"
M,47.0,"1,850",83.9,998,956,980
M,26.0,"1,790",75.4,885,805,987
F,56.0,"1,481",55.1,915,825,935
M,37.0,"1,727",71.7,914,839,942
F,20.0,"1,640",49.5,802,620,870
M,19.0,"1,686",62.0,837,695,911
M,17.0,"1,733",71.7,850,803,990
M,20.0,"1,805",61.5,860,712,890
F,56.0,"1,542",50.0,861,795,851
M,44.0,"1,850",69.6,910,821,880
M,54.0,"1,729",77.6,"1,010",918,946
M,30.0,"1,697",62.5,883,733,892
M,40.0,"1,706",62.9,886,780,900
M,56.0,"1,644",78.3,"1,009",924,973
F,18.0,"1,549",64.3,948,824,995
F,36.0,"1,700",69.9,"1,003",860,990
F,28.0,"1,574",54.0,815,720,925
F,17.0,"1,625",50.3,786,640,900
F,57.0,"1,499",52.1,834,762,925
M,24.0,"1,718",68.7,892,826,931
F,61.0,"1,567",58.2,934,835,924
M,22.0,"1,733",63.6,866,726,936
M,50.0,"1,705",90.4,"1,037","1,033","1,051"
M,17.0,"1,710",55.4,768,690,880
M,19.0,"1,757",56.7,832,730,890
M,52.0,"1,664",77.5,"1,022",939,"1,013"
M,37.0,"1,784",75.0,908,810,958
F,36.0,"1,575",59.5,891,850,961
F,16.0,"1,639",56.8,864,715,940
F,20.0,"1,682",66.4,910,795,975
M,63.0,"1,673",69.8,960,905,939
F,49.0,"1,542",57.1,860,770,950
F,57.0,"1,479",59.1,991,921,937
F,19.0,"1,600",58.9,934,750,956
M,30.0,"1,824",81.2,950,864,"1,007"
M,16.0,"1,662",57.0,761,686,875
F,43.0,"1,562",60.6,900,795,971
F,17.0,"1,480",43.5,775,660,850
F,18.0,"1,567",57.4,850,756,"1,002"
M,19.0,"1,746",73.1,899,764,925
M,37.0,"1,608",73.4,996,873,977
F,16.0,"1,654",51.6,774,674,888
F,22.0,"1,565",46.5,778,676,865
M,56.0,"1,580",46.0,820,655,825
M,37.0,"1,718",78.8,960,960,986
M,26.0,"1,720",69.8,932,792,925
F,26.0,"1,556",53.4,790,730,964
F,36.0,"1,600",49.7,777,670,901
F,19.0,"1,636",45.4,772,620,835
F,18.0,"1,594",52.9,805,745,904
F,30.0,"1,612",56.7,886,762,971
M,18.0,"1,702",71.1,859,741,981
F,16.0,"1,568",48.3,736,616,876
M,23.0,"1,724",74.8,960,800,975
M,37.0,"1,675",67.6,880,874,948
M,17.0,"1,689",66.1,885,767,935
F,35.0,"1,685",52.7,773,675,905
M,17.0,"1,727",78.1,942,878,998
M,40.0,"1,800",83.1,992,915,"1,020"
M,29.0,"1,724",87.3,"1,058",966,"1,070"
M,17.0,"1,734",61.6,790,695,885
F,17.0,"1,651",61.8,860,725,945
M,23.0,"1,732",65.2,936,720,895
F,17.0,"1,631",52.3,785,676,893
F,17.0,"1,613",56.9,845,672,918
F,18.0,"1,570",47.6,750,673,898
F,29.0,"1,694",65.5,901,710,"1,007"
M,29.0,"1,714",58.6,830,743,892
M,59.0,"1,799",86.9,"1,048",960,976
F,63.0,"1,580",62.6,982,872,953
F,49.0,"1,575",62.8,967,810,930
M,16.0,"1,620",71.1,935,845,975
M,20.0,"1,720",82.1,990,910,"1,040"
M,24.0,"1,800",71.2,926,834,980
M,18.0,"1,711",59.5,834,720,905
F,16.0,"1,663",52.4,790,700,905
F,29.0,"1,576",61.4,925,786,956
M,17.0,"1,681",59.3,837,702,932
M,38.0,"1,675",73.6,997,834,960
F,68.0,"1,502",51.4,925,831,849
F,32.0,"1,530",46.5,770,670,892
M,67.0,"1,743",74.7,"1,003",902,910
F,30.0,"1,655",51.7,790,705,908
F,58.0,"1,612",72.1,"1,037",972,986
F,17.0,"1,578",49.0,815,683,910
F,17.0,"1,505",40.3,765,625,821
M,54.0,"1,649",65.8,887,822,920
F,37.0,"1,619",61.0,880,740,973
M,18.0,"1,728",61.6,840,720,931
M,26.0,"1,730",82.6,"1,012",862,"1,020"
M,27.0,"1,735",79.0,970,910,997
F,35.0,"1,519",58.1,950,840,925
F,65.0,"1,465",79.7,"1,160","1,155","1,015"
M,56.0,"1,672",58.4,850,769,891
F,28.0,"1,514",48.1,811,730,892
F,29.0,"1,670",55.8,850,705,890
M,53.0,"1,658",67.1,950,769,912
F,25.0,"1,682",70.2,904,821,988
M,33.0,"1,804",94.9,"1,075","1,061","1,079"
M,56.0,"1,695",60.4,871,820,921
M,16.0,"1,711",56.8,775,630,880
F,17.0,"1,604",55.0,825,692,935
F,62.0,"1,500",51.3,867,775,931
M,54.0,"1,635",69.6,993,873,902
M,21.0,"1,860",71.0,880,774,932
F,60.0,"1,626",66.2,995,899,977
M,34.0,"1,702",85.2,"1,070",961,"1,007"
F,22.0,"1,650",49.6,750,683,880
M,17.0,"1,728",72.5,997,790,975
F,23.0,"1,678",65.8,882,774,995
F,32.0,"1,550",42.2,811,670,828
M,25.0,"1,745",69.2,895,740,946
M,35.0,"1,810",80.1,995,850,967
M,18.0,"1,761",64.9,847,740,920
F,41.0,"1,525",47.7,774,665,841
F,29.0,"1,539",52.6,815,745,893
F,26.0,"1,540",40.7,688,605,803
F,52.0,"1,573",57.7,975,862,873
F,49.0,"1,595",63.4,960,862,960
M,51.0,"1,603",78.0,972,879,964
M,17.0,"1,663",49.2,745,612,844
F,17.0,"1,639",54.5,855,685,925
M,16.0,"1,657",59.2,853,712,954
M,50.0,"1,754",79.7,954,878,995
M,24.0,"1,915",86.7,964,807,980
F,19.0,"1,740",57.7,866,680,912
M,19.0,"1,775",73.8,880,792,964
M,49.0,"1,748",80.2,973,930,994
M,19.0,"1,790",68.0,857,737,955
F,22.0,"1,650",61.5,882,770,962
F,32.0,"1,546",42.1,765,691,821
M,42.0,"1,747",83.6,902,995,"1,000"
M,20.0,"1,745",60.9,835,698,890
F,20.0,"1,675",57.2,815,709,967
M,61.0,"1,650",70.4,960,838,935
F,45.0,"1,641",60.1,901,825,950
M,20.0,"1,743",81.9,965,825,"1,017"
F,25.0,"1,602",61.8,867,764,955
M,26.0,"1,770",62.7,850,690,885
F,16.0,"1,530",52.0,830,711,905
M,16.0,"1,714",64.8,905,760,916
M,28.0,"1,645",70.7,930,880,946
M,25.0,"1,660",55.5,771,697,872
M,40.0,"1,696",70.3,947,860,944
M,17.0,"1,828",72.8,875,785,995
M,21.0,"1,755",67.5,902,810,925
M,17.0,"1,712",92.5,"1,008",937,"1,092"
F,16.0,"1,568",46.1,811,641,840
M,42.0,"1,734",74.2,966,828,920
M,36.0,"1,756",65.6,895,772,930
F,17.0,"1,649",47.9,795,641,870
F,19.0,"1,598",49.0,821,673,873
M,24.0,"1,805",83.7,951,875,"1,052"
F,25.0,"1,512",51.5,855,796,901
M,18.0,"1,733",73.1,912,778,975
F,19.0,"1,535",54.0,863,696,967
F,46.0,"1,456",55.6,932,785,932
F,50.0,"1,528",56.6,939,825,963
M,40.0,"1,745",72.0,938,870,950
M,34.0,"1,738",74.6,955,833,979
M,19.0,"1,746",89.6,"1,060","1,010","1,033"
F,55.0,"1,558",61.9,960,830,954
F,18.0,"1,610",52.9,825,710,909
F,27.0,"1,654",84.2,"1,030",892,"1,121"
F,47.0,"1,585",67.8,955,855,"1,013"
F,17.0,"1,635",46.2,760,632,850
M,18.0,"1,675",66.1,930,790,956
F,20.0,"1,647",52.0,816,610,850
M,33.0,"1,629",75.2,950,854,990
F,25.0,"1,602",52.8,775,730,947
F,52.0,"1,598",59.3,852,769,945
F,19.0,"1,660",70.2,922,786,"1,045"
F,60.0,"1,535",58.8,964,886,920
F,24.0,"1,575",63.3,951,855,935
F,36.0,"1,632",63.6,900,860,971
M,24.0,"1,694",95.6,"1,090","1,000","1,072"
M,17.0,"1,710",64.4,892,763,952
M,21.0,"1,724",73.6,925,764,941
F,20.0,"1,560",49.3,804,694,896
M,20.0,"1,743",66.2,852,770,940
M,39.0,"1,780",77.8,"1,000",910,947
F,43.0,"1,667",64.4,895,812,995
F,39.0,"1,650",74.8,990,932,"1,070"
M,23.0,"1,770",89.4,"1,097",944,"1,024"
F,26.0,"1,619",61.1,895,765,996
F,24.0,"1,645",58.2,860,697,935
M,16.0,"1,626",50.0,800,655,867
F,33.0,"1,545",48.6,782,676,890
M,60.0,"1,605",65.2,881,896,900
F,18.0,"1,592",60.7,904,768,953
M,53.0,"1,629",61.6,870,791,876
M,17.0,"1,663",57.0,835,685,945
F,50.0,"1,606",56.7,905,740,930
F,17.0,"1,614",56.5,870,704,956
F,17.0,"1,496",47.1,752,605,851
F,62.0,"1,510",65.3,988,915,960
F,41.0,"1,540",53.8,820,762,990
F,18.0,"1,602",58.5,866,767,971
M,39.0,"1,714",74.1,972,880,974
M,58.0,"1,710",64.5,905,835,905
F,26.0,"1,666",60.3,900,840,931
F,27.0,"1,691",110.4,"1,120","1,049","1,250"
F,35.0,"1,622",54.6,842,750,920
M,25.0,"1,705",63.6,824,781,931
F,48.0,"1,641",62.5,986,868,955
F,18.0,"1,631",52.6,793,720,920
F,23.0,"1,667",53.9,842,640,915
M,24.0,"1,838",99.6,"1,053",882,"1,107"
F,31.0,"1,638",60.0,930,780,940
M,44.0,"1,703",71.8,920,871,914
M,25.0,"1,661",73.2,921,821,995
F,17.0,"1,570",57.3,842,722,956
M,20.0,"1,714",64.4,880,720,930
M,59.0,"1,688",64.3,895,799,926
F,55.0,"1,437",50.3,900,806,860
F,17.0,"1,625",49.7,836,638,898
F,33.0,"1,613",60.2,895,827,967
M,19.0,"1,840",72.2,921,860,911
M,36.0,"1,720",73.9,992,810,998
F,35.0,"1,654",96.0,"1,180","1,025","1,170"
M,30.0,"1,755",79.7,945,894,"1,005"
M,32.0,"1,742",82.3,967,827,"1,025"
M,24.0,"1,736",63.0,872,724,925
M,19.0,"1,760",66.4,870,757,925
M,21.0,"1,693",59.2,854,740,894
M,53.0,"1,629",61.6,870,791,876
F,50.0,"1,582",61.5,943,828,960
F,23.0,"1,615",59.1,820,700,983
M,20.0,"1,735",56.2,805,683,885
F,39.0,"1,555",54.0,892,788,890
M,16.0,"1,700",56.9,820,689,851
M,49.0,"1,640",68.5,960,866,922
F,20.0,"1,645",53.5,801,685,901
M,18.0,"1,704",56.4,791,668,906
F,50.0,"1,586",82.0,"1,100","1,030","1,083"
F,48.0,"1,657",63.3,915,880,985
F,16.0,"1,549",44.3,730,620,860
M,26.0,"1,704",71.9,862,807,985
M,19.0,"1,657",66.1,874,761,923
F,39.0,"1,682",106.9,"1,140","1,027","1,265"
M,58.0,"1,665",68.8,990,942,957
F,48.0,"1,650",60.2,872,771,955
F,38.0,"1,468",53.5,886,800,925
M,25.0,"1,711",70.2,912,796,960
M,20.0,"1,726",69.1,891,810,972
M,16.0,"1,640",46.9,738,635,801
F,33.0,"1,664",55.4,832,640,905
M,19.0,"1,759",60.2,801,692,932
F,47.0,"1,573",69.7,980,880,975
F,28.0,"1,680",59.2,870,730,"1,003"
F,44.0,"1,541",53.8,915,760,902
M,25.0,"1,804",72.6,892,820,970
F,23.0,"1,654",56.6,834,757,931
M,16.0,"1,795",57.3,816,651,907
F,27.0,"1,602",57.4,850,764,975
M,17.0,"1,794",51.5,744,644,834
F,20.0,"1,555",48.3,820,697,880
M,16.0,"1,720",62.5,860,740,949
F,19.0,"1,638",62.5,860,775,"1,002"
F,19.0,"1,580",52.3,800,651,941
F,61.0,"1,456",66.6,"1,040",984,968
F,30.0,"1,663",48.9,790,692,872
F,59.0,"1,460",50.0,871,805,881
M,58.0,"1,650",82.1,"1,039",942,"1,011"
M,33.0,"1,704",90.3,958,934,"1,058"
F,16.0,"1,555",45.7,745,645,856
M,60.0,"1,638",68.5,947,892,943
F,61.0,"1,516",57.7,846,821,945
F,25.0,"1,516",47.7,790,700,882
M,67.0,"1,677",62.7,938,850,900
M,33.0,"1,685",75.2,944,838,"1,015"
F,26.0,"1,610",54.3,906,730,916
F,29.0,"1,628",57.8,870,700,920
F,51.0,"1,565",64.3,971,838,960
F,16.0,"1,605",62.4,900,796,975
M,33.0,"1,835",87.8,"1,014",875,965
F,26.0,"1,634",64.8,896,770,985
M,23.0,"1,683",58.2,852,724,910
F,68.0,"1,480",48.5,871,792,855
F,16.0,"1,456",41.0,722,635,830
M,48.0,"1,774",77.0,960,889,953
M,16.0,"1,768",61.3,810,712,896
M,23.0,"1,793",74.9,886,836,965
F,54.0,"1,550",72.0,"1,055",954,974
F,25.0,"1,555",46.2,763,671,875
F,16.0,"1,581",48.5,760,654,865
M,52.0,"1,740",87.7,"1,040",948,"1,050"
F,28.0,"1,669",59.5,860,706,927
F,27.0,"1,557",50.1,830,660,881
F,67.0,"1,535",67.7,"1,033",946,983
F,30.0,"1,563",56.4,840,722,945
F,16.0,"1,489",40.5,740,591,840
M,52.0,"1,603",72.9,998,858,952
F,44.0,"1,582",63.3,912,841,972
M,19.0,"1,614",55.6,804,705,865
F,41.0,"1,590",74.8,"1,106",972,970
M,16.0,"1,771",63.7,851,705,901
M,16.0,"1,788",63.2,864,722,911
M,18.0,"1,728",56.1,785,721,880
F,19.0,"1,582",56.1,845,768,930
F,33.0,"1,575",47.3,780,691,856
M,38.0,"1,665",58.1,850,760,891
M,25.0,"1,724",66.7,870,786,945
F,66.0,"1,479",68.2,"1,033",980,975
M,20.0,"1,829",76.2,922,804,993
M,21.0,"1,698",66.3,924,794,936
F,20.0,"1,586",63.0,889,822,995
M,63.0,"1,663",63.3,933,887,882
F,19.0,"1,662",57.9,831,690,936
F,16.0,"1,670",62.0,860,742,950
M,51.0,"1,666",60.7,902,785,876
M,21.0,"1,812",78.6,955,786,940
M,16.0,"1,750",65.4,845,705,935
F,46.0,"1,560",65.2,952,810,993
M,19.0,"1,774",60.6,775,685,891
F,17.0,"1,605",49.2,842,675,880
M,25.0,"1,683",64.7,928,765,901
M,21.0,"1,783",107.1,"1,109","1,048","1,116"
M,57.0,"1,734",68.1,945,824,906
M,17.0,"1,728",75.8,940,816,994
M,18.0,"1,829",87.7,962,821,"1,055"
F,43.0,"1,605",64.1,907,812,"1,030"
M,21.0,"1,794",102.1,"1,153","1,022","1,110"
F,20.0,"1,644",45.8,770,650,850
F,26.0,"1,578",48.4,810,680,901
M,35.0,"1,732",67.1,925,798,912
F,45.0,"1,710",51.8,791,655,880
F,46.0,"1,542",50.5,822,714,897
F,37.0,"1,669",55.1,831,740,925
M,22.0,"1,683",80.9,"1,016",934,"1,001"
F,25.0,"1,597",58.0,859,780,937
M,54.0,"1,684",80.3,"1,004",911,"1,007"
F,50.0,"1,594",54.5,850,730,910
F,16.0,"1,681",64.1,915,730,"1,011"
F,18.0,"1,577",62.4,962,820,990
M,16.0,"1,655",56.9,853,678,891
M,32.0,"1,749",82.5,900,761,920
F,17.0,"1,577",59.1,845,755,"1,005"
F,30.0,"1,753",64.7,821,745,980
F,46.0,"1,570",63.5,954,874,970
F,26.0,"1,591",49.8,785,700,925
M,22.0,"1,720",65.3,873,754,917
F,54.0,"1,571",56.0,865,804,941
F,16.0,"1,604",42.8,746,620,845
M,28.0,"1,833",106.2,"1,093","1,036","1,109"
F,36.0,"1,591",57.6,906,762,918
F,63.0,"1,486",53.8,950,864,890
F,33.0,"1,605",54.9,823,704,934
M,45.0,"1,709",76.6,905,910,977
M,40.0,"1,786",57.6,893,726,930
F,16.0,"1,606",48.8,800,636,895
F,34.0,"1,585",45.1,770,646,870
M,17.0,"1,675",72.8,951,828,965
F,16.0,"1,666",58.1,837,698,917
F,16.0,"1,624",52.1,808,705,911
F,18.0,"1,625",48.7,790,640,870
M,23.0,"1,650",62.5,851,755,911
F,32.0,"1,572",46.3,780,692,875
M,33.0,"1,681",88.0,"1,058",985,"1,008"
M,19.0,"1,775",103.5,"1,104","1,025","1,140"
M,18.0,"1,698",64.2,845,715,937
F,21.0,"1,720",52.1,765,665,900
F,42.0,"1,624",62.0,935,833,933
M,29.0,"1,733",80.9,"1,024",876,"1,005"
M,18.0,"1,736",58.9,778,691,894
M,18.0,"1,722",65.2,900,734,913
F,19.0,"1,623",63.4,871,761,984
F,46.0,"1,541",55.7,908,797,912
F,41.0,"1,631",69.2,"1,030",918,945
F,67.0,"1,523",63.6,"1,025",965,996
F,28.0,"1,598",48.4,783,645,870
M,45.0,"1,685",72.8,945,810,930
F,18.0,"1,595",59.5,895,734,937
M,55.0,"1,675",83.3,"1,062",983,"1,012"
F,40.0,"1,476",47.4,810,685,861
M,18.0,"1,706",72.2,944,850,"1,006"
M,33.0,"1,708",92.0,"1,022",956,"1,026"
F,61.0,"1,595",68.8,"1,015",921,957
M,66.0,"1,632",60.4,864,804,910
M,39.0,"1,724",76.0,955,885,971
F,16.0,"1,634",60.9,848,745,952
F,19.0,"1,564",58.1,894,735,957
M,22.0,"1,640",55.1,825,666,864
M,56.0,"1,651",62.4,920,745,890
F,16.0,"1,611",53.7,806,657,905
F,19.0,"1,566",50.6,780,670,910
F,23.0,"1,630",50.3,805,662,860
M,20.0,"1,640",61.2,840,722,930
M,41.0,"1,758",66.7,910,826,911
F,21.0,"1,720",58.0,791,690,"1,001"
M,16.0,"1,848",65.0,827,687,895
M,27.0,"1,789",89.1,"1,025","1,013","1,009"
M,18.0,"1,905",79.6,874,775,"1,000"
F,49.0,"1,510",55.7,886,790,915
F,34.0,"1,570",48.5,831,716,867
M,34.0,"1,797",79.9,950,860,979
F,34.0,"1,625",71.8,990,905,"1,046"
F,19.0,"1,560",41.2,718,625,808
F,48.0,"1,580",58.4,880,785,893
F,18.0,"1,531",55.2,858,755,945
M,22.0,"1,780",61.0,849,733,914
F,19.0,"1,600",66.2,915,745,"1,020"
F,46.0,"1,568",47.7,812,672,850
M,24.0,"1,770",76.7,925,840,990
M,58.0,"1,634",66.2,907,839,911
F,18.0,"1,645",57.6,871,741,948
F,65.0,"1,486",68.4,"1,020",960,"1,014"
F,18.0,"1,551",65.9,"1,000",885,959
F,65.0,"1,495",53.2,936,835,840
M,20.0,"1,740",60.4,820,766,902
M,39.0,"1,664",72.0,968,882,946
M,24.0,"1,720",74.8,956,796,955
M,18.0,"1,725",60.5,826,695,845
M,57.0,"1,643",70.5,940,947,955
F,20.0,"1,539",40.8,762,623,815
M,17.0,"1,675",60.7,825,760,950
F,49.0,"1,560",57.5,864,805,996
M,37.0,"1,797",86.8,"1,077",940,976
F,29.0,"1,651",60.6,856,721,970
F,46.0,"1,604",62.2,912,795,993
F,57.0,"1,573",56.7,954,855,892
M,24.0,"1,656",84.6,"1,030",975,"1,026"
M,20.0,"1,790",79.0,992,837,"1,006"
M,31.0,"1,699",67.7,950,814,949
M,26.0,"1,769",83.5,963,861,"1,017"
M,17.0,"1,639",58.0,820,713,926
F,18.0,"1,634",58.5,867,700,936
M,41.0,"1,766",82.3,"1,010",845,987
F,16.0,"1,610",49.3,770,660,901
M,46.0,"1,746",115.4,"1,217","1,164","1,195"
F,24.0,"1,645",58.2,898,722,952
F,40.0,"1,567",63.2,961,852,942
F,16.0,"1,583",56.6,795,710,930
M,19.0,"1,710",57.0,825,685,861
M,27.0,"1,778",69.0,916,777,945
F,62.0,"1,584",79.7,"1,018","1,007","1,095"
F,35.0,"1,550",44.4,798,645,845
F,37.0,"1,554",52.1,817,780,890
F,51.0,"1,508",54.6,905,795,890
M,20.0,"1,765",74.2,960,820,947
F,42.0,"1,511",61.1,942,830,935
F,22.0,"1,711",65.4,920,785,985
M,25.0,"1,784",76.2,943,812,972
M,20.0,"1,720",47.2,800,630,830
F,16.0,"1,574",49.7,790,670,904
F,19.0,"1,620",63.5,900,699,995
